Variable,DF,Estimate,StdErr,WaldChiSq,ProbChiSq,tValue,ProbT,Outcome
e_any_str,319359,0.5675,0.0168,1138.8374775,<.0001,33.75,<.0001,any_oth
e_any_anx,319359,0.5126,0.0196,685.08740372,<.0001,26.17,<.0001,any_oth
e_any_phb,319359,0.4815,0.0358,180.41529573,<.0001,13.43,<.0001,any_oth
e_any_ptsd,319359,0.6925,0.0386,322.26272032,<.0001,17.95,<.0001,any_oth
e_any_som,319359,0.4059,0.0556,53.38354957,<.0001,7.31,<.0001,any_oth
e_any_psy,319359,0.8519,0.0424,403.9214093,<.0001,20.10,<.0001,any_oth
e_any_oth,319359,0,,,,,,any_oth
e_any_slp,319359,0.5039,0.0183,754.51332252,<.0001,27.47,<.0001,any_oth
e_any_sex,319359,0.4170,0.0376,122.99228336,<.0001,11.09,<.0001,any_oth
e_any_sui,319359,0.8292,0.0654,160.86802965,<.0001,12.68,<.0001,any_oth
e_any_per,319359,0.8914,0.0500,317.26839045,<.0001,17.81,<.0001,any_oth
e_any_adhd,362890,0.8577,0.0292,862.86356156,<.0001,29.37,<.0001,any_slp
e_any_sub,362890,0.5107,0.0231,487.18319551,<.0001,22.07,<.0001,any_slp
e_any_dep,362890,0.6281,0.0134,2188.2878371,<.0001,46.78,<.0001,any_slp
e_any_str,362890,0.4876,0.0134,1316.561714,<.0001,36.28,<.0001,any_slp
e_any_anx,362890,0.4796,0.0155,962.83450111,<.0001,31.03,<.0001,any_slp
e_any_phb,362890,0.4492,0.0283,252.09590041,<.0001,15.88,<.0001,any_slp
e_any_ptsd,362890,0.5922,0.0304,379.337457,<.0001,19.48,<.0001,any_slp
e_any_som,362890,0.4419,0.0420,110.75285572,<.0001,10.52,<.0001,any_slp
e_any_psy,362890,0.6493,0.0333,379.62973448,<.0001,19.48,<.0001,any_slp
e_any_oth,362890,0.4858,0.0136,1267.9115341,<.0001,35.61,<.0001,any_slp
e_any_slp,362890,0,,,,,,any_slp
e_any_sex,362890,0.2871,0.0325,78.254342461,<.0001,8.85,<.0001,any_slp
e_any_sui,362890,0.7661,0.0486,248.0820746,<.0001,15.75,<.0001,any_slp
e_any_per,362890,0.6213,0.0402,239.02875062,<.0001,15.46,<.0001,any_slp
e_any_adhd,484864,0.7072,0.1202,34.633852069,<.0001,5.89,<.0001,any_sex
e_any_sub,484864,0.4395,0.0997,19.424808312,<.0001,4.41,<.0001,any_sex
e_any_dep,484864,0.6637,0.0651,103.91778761,<.0001,10.19,<.0001,any_sex
e_any_str,484864,0.5154,0.0643,64.190097318,<.0001,8.01,<.0001,any_sex
e_any_anx,484864,0.4019,0.0700,33.007587466,<.0001,5.75,<.0001,any_sex
e_any_phb,484864,0.4545,0.1188,14.628894339,0.0001,3.82,0.0001,any_sex
e_any_ptsd,484864,0.5460,0.1258,18.845571284,<.0001,4.34,<.0001,any_sex
e_any_som,484864,0.1902,0.1989,0.9140276957,0.3390,0.96,0.3390,any_sex
e_any_psy,484864,0.7221,0.1249,33.39966017,<.0001,5.78,<.0001,any_sex
e_any_oth,484864,0.4311,0.0643,44.986138332,<.0001,6.71,<.0001,any_sex
e_any_slp,484864,0.4703,0.0666,49.889735064,<.0001,7.06,<.0001,any_sex
e_any_sex,484864,0,,,,,,any_sex
e_any_sui,484864,0.9147,0.1636,31.269309439,<.0001,5.59,<.0001,any_sex
e_any_per,484864,0.8738,0.1414,38.166697751,<.0001,6.18,<.0001,any_sex
e_any_adhd,494205,0.9882,0.1071,85.106722914,<.0001,9.23,<.0001,any_per
e_any_sub,494205,0.8387,0.0834,101.01517014,<.0001,10.05,<.0001,any_per
e_any_dep,494205,1.0487,0.0658,254.10559282,<.0001,15.94,<.0001,any_per
e_any_str,494205,0.7825,0.0632,153.10828948,<.0001,12.37,<.0001,any_per
e_any_anx,494205,0.6505,0.0646,101.38437334,<.0001,10.07,<.0001,any_per
e_any_phb,494205,0.5761,0.1109,26.992138179,<.0001,5.20,<.0001,any_per
e_any_ptsd,494205,0.6355,0.1178,29.127322678,<.0001,5.40,<.0001,any_per
e_any_som,494205,0.5807,0.1652,12.358071479,0.0004,3.52,0.0004,any_per
e_any_psy,494205,1.1252,0.1071,110.29712907,<.0001,10.50,<.0001,any_per
e_any_oth,494205,0.6566,0.0617,113.16746187,<.0001,10.64,<.0001,any_per
e_any_slp,494205,0.7045,0.0624,127.3390744,<.0001,11.28,<.0001,any_per
e_any_sex,494205,0.5639,0.1185,22.66245381,<.0001,4.76,<.0001,any_per
e_any_sui,494205,1.1613,0.1509,59.211743641,<.0001,7.69,<.0001,any_per
e_any_per,494205,0,,,,,,any_per
e_any_adhd,498138,0.9226,0.0697,175.27315547,<.0001,13.24,<.0001,any_sui
e_any_sub,498138,0.9435,0.0525,323.18191733,<.0001,17.98,<.0001,any_sui
e_any_dep,498138,1.0542,0.0426,612.53107738,<.0001,24.75,<.0001,any_sui
e_any_str,498138,1.1612,0.0432,722.20421653,<.0001,26.87,<.0001,any_sui
e_any_anx,498138,0.6118,0.0419,213.13585289,<.0001,14.60,<.0001,any_sui
e_any_phb,498138,0.5522,0.0718,59.079488828,<.0001,7.69,<.0001,any_sui
e_any_ptsd,498138,0.8503,0.0693,150.45781754,<.0001,12.27,<.0001,any_sui
e_any_som,498138,0.5464,0.1048,27.180229872,<.0001,5.21,<.0001,any_sui
e_any_psy,498138,0.9407,0.0734,164.28321829,<.0001,12.82,<.0001,any_sui
e_any_oth,498138,0.6931,0.0399,301.7161649,<.0001,17.37,<.0001,any_sui
e_any_slp,498138,0.7216,0.0403,320.95639459,<.0001,17.92,<.0001,any_sui
e_any_sex,498138,0.6655,0.0735,81.967013328,<.0001,9.05,<.0001,any_sui
e_any_sui,498138,0,,,,,,any_sui
e_any_per,498138,1.0199,0.0866,138.74441854,<.0001,11.78,<.0001,any_sui
