chisq,df,pvalue,cfi,tli,srmr,rmsea,rmsea.ci.lower,rmsea.ci.upper,Test
35327.8628733543,108,0,0.938313902178826,0.880054809792163,0.0449840435059066,0.0215079997578386,0.0213196513842175,0.0216969568108566,Baseline
35581.5863087,109,0,0.937871267787816,0.880302442526984,0.0449840435101752,0.0214857861258304,0.0212983023367799,0.0216738736372128,T1: GM-Ext
36206.2024663227,109,0,0.936777279048042,0.878194757798981,0.0449840435059063,0.0216741260126673,0.0214866420885094,0.021862208448273,T2: GM-Int
35332.7652942506,109,0,0.938307067253943,0.881142056177321,0.0449840435093054,0.0214102979290374,0.0212228141883793,0.0215983875020749,T3: GM_Thd
35520.2663057902,109,0,0.937978667175243,0.880509358777992,0.0449840435084198,0.0214672072952703,0.0212797235184517,0.0216552953163026,T4: GF_Ext
35906.4121786077,109,0,0.937302349037109,0.879206360530209,0.0449840435059064,0.0215839356473108,0.0213964517903634,0.0217720204998697,T5: GF-Int
35331.9926414428,109,0,0.938308420522604,0.881144663392173,0.0449840435096376,0.0214100631043758,0.0212225793638566,0.0215981526831005,T6: GF-Thd
36464.8283220307,111,0,0.936327809733083,0.879539099495022,0.0449840435101761,0.0215541875205516,0.0213683976848239,0.021740568332841,T7: GM
36102.9453785323,111,0,0.936961632378354,0.880738223418507,0.0449840435084201,0.021446638992025,0.0212608492144727,0.0216330226896457,T8: GF
37239.9108271573,114,0,0.934975539932701,0.880218099876027,0.0449840435121761,0.0214933545720159,0.021310021765385,0.0216772644159804,T9: GM-GF
37654.8725671757,117,0,0.934254006396788,0.881994370455774,0.0452065353774269,0.0213333946363579,0.0211524238278322,0.0215149318794908,CM1: MF
37352.3845894192,117,0,0.934783801275681,0.882945284340967,0.0450891033282841,0.0212472663118154,0.0210662955075522,0.0214288058311798,CM2: GM
37284.744489388,117,0,0.934902270045482,0.883157920594455,0.0450307388797383,0.0212279591326208,0.0210469883286321,0.0214094991653906,CM3: GF
37561.0534137226,123,0,0.934428835415472,0.888049231197148,0.0452382546516631,0.0207788804480194,0.0206023716261483,0.0209559423472178,CM4: GP
42691.5101477695,129,0,0.925453566530597,0.878645340863763,0.0492214931398707,0.0216340003074599,0.0214616393425007,0.0218068679203698,CM5: MFGP
37976.0151462315,126,0,0.933707301892713,0.889512169821188,0.0454595036087708,0.0206426679413455,0.0204682696611655,0.0208176096770726,CM6: MF + GP
37988.3630581985,129,0,0.933690929420903,0.892055001382866,0.0454706556695521,0.0204037440377109,0.0202313821385836,0.0205766429191722,AM1: MF
38160.9304415081,138,0,0.93340444807816,0.898658942727635,0.045668664128565,0.0197697564722143,0.0196030999484514,0.0199369309304138,AM2: GP
38173.2783573095,141,0,0.933388075599635,0.900790750893074,0.0456797655235359,0.0195607131989641,0.0193958358815933,0.01972610280477,AM3: MF + GP
39204.7515425696,150,0,0.931597257130174,0.904236159982244,0.0461431786277586,0.019218052718654,0.0190581895651787,0.0193784059395794,IG1: MF
38887.8730921462,168,0,0.932183782549802,0.915229728187252,0.0461439414030884,0.0180813308125895,0.0179302564197144,0.0182328700313248,IG2: GP
39919.3462922382,177,0,0.930392964054364,0.917415381081448,0.0466027284696892,0.0178467109077446,0.0176995202774699,0.017994348462792,IG3: MF + GP
46714.6608270837,183,0,0.918501767258931,0.906477437838118,0.0516541058614642,0.0189918294829766,0.0188470740849465,0.0191369913185845,GEN1: MF = GP AM
41193.4347097976,186,0,0.928177215283319,0.918909759190844,0.0478433187225005,0.0176845046367704,0.0175409128448895,0.0178285255931215,GEN2: MF = GP IG
47988.7492306908,192,0,0.916286018512323,0.908437832747854,0.0527760539751606,0.0187917244698555,0.0186503968399121,0.0189334435769752,GEN3: MFGP AM + IG
