Table,Row,Risk,StdErr,LowerCL,UpperCL,_SkipLine
Table e_any_adhd * any_dev,Difference,-0.0186,0.0011,-0.0208,-0.0163,1
Table e_any_adhd * any_stm,Row 1,0.0118,0.0001,0.0116,0.0121,
Table e_any_adhd * any_stm,Row 2,0.0238,0.0009,0.0221,0.0255,
Table e_any_adhd * any_stm,Total,0.0123,0.0001,0.0121,0.0126,
Table e_any_adhd * any_stm,Difference,-0.0119,0.0009,-0.0136,-0.0102,1
Table e_any_sub * any_adhd,Row 1,0.0364,0.0002,0.0359,0.0368,
Table e_any_sub * any_adhd,Row 2,0.0865,0.0011,0.0843,0.0887,
Table e_any_sub * any_adhd,Total,0.0405,0.0002,0.0401,0.0410,
Table e_any_sub * any_adhd,Difference,-0.0501,0.0012,-0.0524,-0.0479,1
Table e_any_sub * any_sub,Row 1,0.0056,0.0001,0.0054,0.0058,
Table e_any_sub * any_sub,Row 2,0.0158,0.0005,0.0148,0.0167,
Table e_any_sub * any_sub,Total,0.0064,0.0001,0.0063,0.0066,
Table e_any_sub * any_sub,Difference,-0.0102,0.0005,-0.0111,-0.0092,1
Table e_any_sub * any_chad,Row 1,0.0602,0.0003,0.0596,0.0608,
Table e_any_sub * any_chad,Row 2,0.1099,0.0012,0.1075,0.1123,
Table e_any_sub * any_chad,Total,0.0643,0.0003,0.0638,0.0649,
Table e_any_sub * any_chad,Difference,-0.0497,0.0013,-0.0522,-0.0472,1
Table e_any_sub * any_dep,Row 1,0.0391,0.0002,0.0387,0.0396,
Table e_any_sub * any_dep,Row 2,0.0699,0.0010,0.0680,0.0719,
Table e_any_sub * any_dep,Total,0.0417,0.0002,0.0412,0.0421,
Table e_any_sub * any_dep,Difference,-0.0308,0.0010,-0.0329,-0.0288,1
Table e_any_sub * any_str,Row 1,0.0157,0.0001,0.0155,0.0160,
Table e_any_sub * any_str,Row 2,0.0347,0.0007,0.0333,0.0361,
Table e_any_sub * any_str,Total,0.0173,0.0002,0.0170,0.0176,
Table e_any_sub * any_str,Difference,-0.0190,0.0007,-0.0204,-0.0175,1
Table e_any_sub * any_anx,Row 1,0.0287,0.0002,0.0283,0.0291,
Table e_any_sub * any_anx,Row 2,0.0475,0.0008,0.0458,0.0491,
Table e_any_sub * any_anx,Total,0.0303,0.0002,0.0299,0.0307,
Table e_any_sub * any_anx,Difference,-0.0187,0.0009,-0.0204,-0.0171,1
Table e_any_sub * any_phb,Row 1,0.0094,0.0001,0.0092,0.0096,
