Variable,DF,Estimate,StdErr,WaldChiSq,ProbChiSq,tValue,ProbT,Outcome
e_any_sui,508492,1.6617,0.0832,399.27330054,<.0001,19.98,<.0001,any_ptsd
e_any_per,508492,1.3743,0.0836,270.08251766,<.0001,16.43,<.0001,any_ptsd
e_any_adhd,508492,0.5564,0.0761,53.400149735,<.0001,7.31,<.0001,any_som
e_any_MH,508492,0.7150,0.0574,154.96750183,<.0001,12.45,<.0001,any_som
e_any_sub,508492,0.4835,0.0579,69.816355397,<.0001,8.36,<.0001,any_som
e_any_dep,508492,0.5188,0.0391,176.43403149,<.0001,13.28,<.0001,any_som
e_any_str,508492,0.4966,0.0390,162.51752808,<.0001,12.75,<.0001,any_som
e_any_anx,508492,0.5022,0.0413,147.6874042,<.0001,12.15,<.0001,any_som
e_any_phb,508492,0.4760,0.0708,45.240943669,<.0001,6.73,<.0001,any_som
e_any_ptsd,508492,0.7006,0.0699,100.48459509,<.0001,10.02,<.0001,any_som
e_any_som,508492,0.8346,0.0897,86.587789507,<.0001,9.31,<.0001,any_som
e_any_psy,508492,0.5698,0.0794,51.458430286,<.0001,7.17,<.0001,any_som
e_any_oth,508492,0.4602,0.0388,140.43139978,<.0001,11.85,<.0001,any_som
e_any_slp,508492,0.4284,0.0404,112.72452877,<.0001,10.62,<.0001,any_som
e_any_sex,508492,0.4329,0.0785,30.412707349,<.0001,5.51,<.0001,any_som
e_any_sui,508492,0.5364,0.1151,21.710987881,<.0001,4.66,<.0001,any_som
e_any_per,508492,0.6659,0.0921,52.259395972,<.0001,7.23,<.0001,any_som
e_any_adhd,508492,0.9948,0.0874,129.47668379,<.0001,11.38,<.0001,any_psy
e_any_MH,508492,1.5418,0.1095,198.33939311,<.0001,14.08,<.0001,any_psy
e_any_sub,508492,0.8176,0.0705,134.54507747,<.0001,11.60,<.0001,any_psy
e_any_dep,508492,1.0170,0.0566,322.96587144,<.0001,17.97,<.0001,any_psy
e_any_str,508492,0.9130,0.0555,270.64339531,<.0001,16.45,<.0001,any_psy
e_any_anx,508492,0.6901,0.0549,158.26328524,<.0001,12.58,<.0001,any_psy
e_any_phb,508492,0.5389,0.0940,32.855835532,<.0001,5.73,<.0001,any_psy
e_any_ptsd,508492,0.9092,0.0867,109.95191418,<.0001,10.49,<.0001,any_psy
e_any_som,508492,0.4978,0.1402,12.617993915,0.0004,3.55,0.0004,any_psy
e_any_psy,508492,1.4796,0.0758,381.47431247,<.0001,19.53,<.0001,any_psy
e_any_oth,508492,0.7471,0.0532,197.14919269,<.0001,14.04,<.0001,any_psy
e_any_slp,508492,0.7515,0.0533,198.96304616,<.0001,14.11,<.0001,any_psy
e_any_sex,508492,0.4534,0.1082,17.55556008,<.0001,4.19,<.0001,any_psy
e_any_sui,508492,0.9199,0.1332,47.732421298,<.0001,6.91,<.0001,any_psy
e_any_per,508492,0.9161,0.1157,62.711312586,<.0001,7.92,<.0001,any_psy
