c_ext,c_int,c_thd,m_ext,m_int,m_thd,d_ext,d_int,d_thd,mm_ext,mm_int,mm_thd,md_ext,md_int,md_thd,dm_ext,dm_int,dm_thd,dd_ext,dd_int,dd_thd
1,0.35052999822732783,0.3784094246428306,0.33594765159452306,0.24751586739563336,0.2043563758574853,0.25858168679083243,0.19592358893119782,0.16612361154495311,0.10669982216184787,0.07869769872600632,0.0503058562430259,0.08414774378378168,0.06504487254958002,0.04092155410391122,0.07735536533524842,0.05412364994072359,0.04038335810444454,0.06594683970522731,0.04891608855275832,0.04407958851799137
0.35052999822732783,1,0.4684542897200647,0.18072911714194864,0.2678449847733834,0.16813224092466827,0.14420859694081226,0.18864514067082477,0.14950117557657128,0.05360334287372491,0.04569502842312069,0.05078322670609274,0.0361789306672016,0.03914377679825087,0.04970690493805166,0.03751458588126258,0.02609069871981773,0.025341817380019862,0.025666491454939676,0.02423152645891158,0.028727996878796867
0.3784094246428306,0.4684542897200647,1,0.15987562797311347,0.19839791212739621,0.21456029736127688,0.14151610926694183,0.16423200727086135,0.20653728383364464,0.06584434342392312,0.026371362881126414,0.056617099699439434,0.014519446149939219,0.0333639547581803,0.08774227910128403,0.02324724014000245,0.029903456692480526,0.06661903062680112,0.025846143501589973,0.004409471098953022,0.08705511348689719
0.33594765159452306,0.18072911714194864,0.15987562797311347,1,0.4348967377172513,0.47128008203322347,0.4297805232171494,0.2743131963590594,0.24356782661454177,0.27726420964644716,0.2180881766984795,0.1154156289906477,0.22567459902548542,0.1657333972333536,0.0773690006188421,0.1622318924309164,0.11543095895164238,0.05597830521307754,0.1392973295248849,0.10833580131754553,0.034969442311468604
0.24751586739563336,0.2678449847733834,0.19839791212739621,0.4348967377172513,1,0.5002431660686355,0.27075728707288116,0.3255886050602552,0.21858404919548122,0.17076247452277576,0.22294370724498758,0.11489294320784052,0.14902494847365363,0.18176521525430828,0.10184822020977777,0.0922072468450258,0.08955891132622741,0.03258413531198234,0.08344192750696254,0.07713509575248645,0.023322199391481148
0.2043563758574853,0.16813224092466827,0.21456029736127688,0.47128008203322347,0.5002431660686355,1,0.24610553526481013,0.2395824553746403,0.18342523403965033,0.1626976123778059,0.1731523070328128,0.21204492219261084,0.14389864612858494,0.15143852025766172,0.15843107296489556,0.08278297896175815,0.051183191659522106,0.04005051606856773,0.06699673223719264,0.05706661364123407,0.025922086087199446
0.25858168679083243,0.14420859694081226,0.14151610926694183,0.4297805232171494,0.27075728707288116,0.24610553526481013,1,0.4929894026477962,0.5242651025246967,0.16333520257959075,0.13301352339954525,0.07378392617963539,0.1558350712786234,0.11706856519140729,0.047768008979594656,0.23978145025778128,0.1962054707423446,0.09533901393233797,0.22356532746828728,0.1691368890641197,0.07642753675452997
0.19592358893119782,0.18864514067082477,0.16423200727086135,0.2743131963590594,0.3255886050602552,0.2395824553746403,0.4929894026477962,1,0.5545511879277985,0.10312155778680032,0.11357340176165551,0.0619786463991653,0.10839444774274445,0.1065892822723988,0.05089513141640736,0.1583067699877024,0.19587375884471103,0.0975687359057906,0.14733174194171383,0.18417343877971618,0.08208270902280373
0.16612361154495311,0.14950117557657128,0.20653728383364464,0.24356782661454177,0.21858404919548122,0.18342523403965033,0.5242651025246967,0.5545511879277985,1,0.0859664226394696,0.06315804265888533,0.07008707659936249,0.08145321227118343,0.07165211246211287,0.050969986352824945,0.1341363828680193,0.16720719992376853,0.18038385899665998,0.13238103759530448,0.14856357091265268,0.1556239815725641
0.10669982216184787,0.05360334287372491,0.06584434342392312,0.27726420964644716,0.17076247452277576,0.1626976123778059,0.16333520257959075,0.10312155778680032,0.0859664226394696,1,0.40007017318841687,0.34550598576147895,0.2620616628750651,0.15064882256872456,0.06498499485167605,0.09161867994441839,0.06382839981853045,0.028978695077499287,0.06953011820866345,0.055292035079667706,0.003328934748366616
