Table,Row,Risk,ASE,LowerCL,UpperCL,ExactLowerCL,ExactUpperCL,Control
Table any_sub * any_adhd,Row 2,0.0923,0.0010,0.0903,0.0943,0.0903,0.0943,
Table any_sub * any_adhd,Total,0.0167,0.0001,0.0165,0.0169,0.0165,0.0169,
Table any_sub * any_adhd,Difference,-0.0801,0.0010,-0.0821,-0.0781,_,_,1
Table any_sub * any_sub,Row 1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
Table any_sub * any_sub,Row 2,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,
Table any_sub * any_sub,Total,0.0560,0.0002,0.0557,0.0564,0.0557,0.0564,
Table any_sub * any_sub,Difference,-1.0000,0.0000,-1.0000,-1.0000,_,_,1
Table any_sub * any_dep,Row 1,0.2417,0.0004,0.2410,0.2424,0.2410,0.2424,
Table any_sub * any_dep,Row 2,0.5587,0.0018,0.5553,0.5622,0.5552,0.5622,
Table any_sub * any_dep,Total,0.2595,0.0004,0.2587,0.2602,0.2587,0.2602,
Table any_sub * any_dep,Difference,-0.3170,0.0018,-0.3206,-0.3135,_,_,1
Table any_sub * any_str,Row 1,0.2367,0.0004,0.2360,0.2375,0.2360,0.2375,
Table any_sub * any_str,Row 2,0.3742,0.0017,0.3708,0.3776,0.3708,0.3776,
Table any_sub * any_str,Total,0.2444,0.0004,0.2437,0.2451,0.2437,0.2452,
Table any_sub * any_str,Difference,-0.1375,0.0018,-0.1409,-0.1340,_,_,1
Table any_sub * any_anx,Row 1,0.1119,0.0003,0.1114,0.1124,0.1114,0.1124,
Table any_sub * any_anx,Row 2,0.3876,0.0017,0.3842,0.3910,0.3842,0.3910,
Table any_sub * any_anx,Total,0.1273,0.0003,0.1268,0.1279,0.1268,0.1279,
Table any_sub * any_anx,Difference,-0.2757,0.0018,-0.2792,-0.2723,_,_,1
Table any_sub * any_phb,Row 1,0.0234,0.0001,0.0231,0.0236,0.0231,0.0236,
Table any_sub * any_phb,Row 2,0.0879,0.0010,0.0859,0.0899,0.0859,0.0899,
Table any_sub * any_phb,Total,0.0270,0.0001,0.0267,0.0273,0.0267,0.0273,
Table any_sub * any_phb,Difference,-0.0645,0.0010,-0.0665,-0.0625,_,_,1
Table any_sub * any_ptsd,Row 1,0.0151,0.0001,0.0149,0.0153,0.0149,0.0153,
Table any_sub * any_ptsd,Row 2,0.0626,0.0009,0.0609,0.0643,0.0609,0.0643,
Table any_sub * any_ptsd,Total,0.0178,0.0001,0.0176,0.0180,0.0176,0.0180,
Table any_sub * any_ptsd,Difference,-0.0475,0.0009,-0.0492,-0.0458,_,_,1
Table any_sub * any_som,Row 1,0.0090,0.0001,0.0088,0.0091,0.0088,0.0091,
Table any_sub * any_som,Row 2,0.0207,0.0005,0.0197,0.0217,0.0197,0.0218,
Table any_sub * any_som,Total,0.0096,0.0001,0.0095,0.0098,0.0095,0.0098,
