lhs,op,rhs,label,est,se,z,pvalue,ci.lower,ci.upper
c_ext,|,t1,ce_t,1.2938051800429973,0.0020485643509340627,631.5667747772113,0,1.289790067695154,1.2978202923908406
c_int,|,t1,ci_t,1.3623843431151696,0.0021232568908525714,641.6483794234236,0,1.3582228360791722,1.3665458501511671
c_thd,|,t1,ct_t,2.917441241044195,0.008834462587122794,330.23414975990596,0,2.900126012550668,2.934756469537722
m_ext,|,t1,me_t,1.5421868023879863,0.0023559125723863275,654.6027303661315,0,1.537569298595384,1.5468043061805887
m_int,|,t1,mi_t,-0.14247040642361797,0.0014982369495485052,-95.09203899059594,0,-0.1454068968850402,-0.13953391596219575
m_thd,|,t1,mt_t,2.029326406786304,0.0033720698175917488,601.8043861961316,0,2.0227172713904698,2.035935542182138
d_ext,|,t1,de_t,1.4456508399967378,0.0022239135646901125,650.0481236995286,0,1.441292049505215,1.4500096304882606
d_int,|,t1,di_t,0.36469774724525766,0.001529359254483964,238.46440669580537,0,0.36170025818704604,0.3676952363034693
d_thd,|,t1,dt_t,2.1269637465376747,0.0036747270517016087,578.8086343862652,0,2.1197614138633245,2.134166079212025
mm_ext,|,t1,mme_t,1.6348136406065001,0.001863557203724346,877.254337746811,0,1.6311611356040703,1.63846614560893
mm_int,|,t1,mmi_t,0.21866980558871535,0.001129833452478174,193.54162784708268,0,0.21645537271332957,0.22088423846410113
mm_thd,|,t1,mmt_t,1.9710073258101912,0.0023659836093389464,833.0604312009114,0,1.9663700831478748,1.9756445684725077
md_ext,|,t1,mde_t,1.5302679526890095,0.0018077027606598322,846.5263128383143,0,1.5267249203833626,1.5338109849946564
md_int,|,t1,mdi_t,0.7407744626757562,0.0012824327630974108,577.6322034120464,0,0.738260940647491,0.7432879847040214
md_thd,|,t1,mdt_t,2.03772797793096,0.0026110262543854157,780.4318223566087,0,2.032610460509676,2.042845495352244
dm_ext,|,t1,dme_t,1.6348136406065001,0.0018635572037243452,877.2543377468114,0,1.6311611356040703,1.63846614560893
dm_int,|,t1,dmi_t,0.2186698055887157,0.001129833452478174,193.541627847083,0,0.21645537271332993,0.2208842384641015
dm_thd,|,t1,dmt_t,1.9710073258101908,0.0023659836093389472,833.0604312009109,0,1.9663700831478743,1.9756445684725072
dd_ext,|,t1,dde_t,1.53026795268901,0.0018077027606598311,846.526312838315,0,1.526724920383363,1.5338109849946568
dd_int,|,t1,ddi_t,0.7407744626757561,0.0012824327630974108,577.6322034120462,0,0.7382609406474909,0.7432879847040212
dd_thd,|,t1,ddt_t,2.037727977930961,0.0026110262543854153,780.4318223566091,0,2.032610460509677,2.042845495352245
c_ext,~~,c_int,c_ei_c,0.35053301105644685,0.0029674344826289287,118.12662187099086,0,0.3447169463440119,0.3563490757688818
c_ext,~~,c_thd,c_et_c,0.37840721358264096,0.010467896725235045,36.149307116339,0,0.3578905130072955,0.3989239141579864
c_int,~~,c_thd,c_it_c,0.46844650071851845,0.009754486359234054,48.02369734979075,0,0.4493280587667325,0.4875649426703044
m_ext,~~,m_int,m_ei_c,0.46921852952963145,0.0018173078346384799,258.19430290574513,0,0.46565667162491753,0.47278038743434536
m_ext,~~,m_thd,m_et_c,0.4984264389021702,0.002968042555025342,167.9310285016835,0,0.4926091823897383,0.5042436954146021
m_int,~~,m_thd,m_it_c,0.529961446456323,0.002979326712138921,177.87960088333267,0,0.5241220734023526,0.5358008195102935
d_ext,~~,d_int,d_ei_c,0.4692185295296321,0.0018173078346384796,258.19430290574553,0,0.4656566716249182,0.47278038743434603
d_ext,~~,d_thd,d_et_c,0.49842643890217037,0.0029680425550253423,167.93102850168353,0,0.49260918238973844,0.5042436954146022
d_int,~~,d_thd,d_it_c,0.5299614464563239,0.002979326712138922,177.8796008833329,0,0.5241220734023535,0.5358008195102943
mm_ext,~~,mm_int,mm_ei_c,0.4021909172802954,0.0014785344895550823,272.01997661976884,0,0.3992930429308671,0.40508879162972367
mm_ext,~~,mm_thd,mm_et_c,0.3192998135630243,0.0026604762869613754,120.01603439499472,0,0.31408537585885715,0.3245142512671914
mm_int,~~,mm_thd,mm_it_c,0.37492291669945566,0.0020331323114598445,184.4065507129985,0,0.3709380505931897,0.3789077828057216
md_ext,~~,md_int,md_ei_c,0.4021909172802956,0.0014785344895550821,272.01997661976907,0,0.3992930429308673,0.4050887916297239
md_ext,~~,md_thd,md_et_c,0.3192998135630242,0.002660476286961375,120.01603439499472,0,0.3140853758588571,0.32451425126719136
md_int,~~,md_thd,md_it_c,0.37492291669945593,0.002033132311459846,184.40655071299847,0,0.37093805059318996,0.3789077828057219
dm_ext,~~,dm_int,dm_ei_c,0.4021909172802956,0.0014785344895550821,272.01997661976907,0,0.3992930429308673,0.4050887916297239
dm_ext,~~,dm_thd,dm_et_c,0.31929981356302406,0.0026604762869613754,120.01603439499463,0,0.31408537585885693,0.3245142512671912
dm_int,~~,dm_thd,dm_it_c,0.374922916699456,0.0020331323114598453,184.40655071299858,0,0.37093805059319,0.37890778280572196
dd_ext,~~,dd_int,dd_ei_c,0.40219091728029543,0.0014785344895550821,272.01997661976895,0,0.39929304293086715,0.4050887916297237
dd_ext,~~,dd_thd,dd_et_c,0.3192998135630245,0.0026604762869613745,120.01603439499485,0,0.3140853758588574,0.32451425126719163
dd_int,~~,dd_thd,dd_it_c,0.3749229166994558,0.002033132311459846,184.4065507129984,0,0.37093805059318985,0.3789077828057218
m_ext,~~,d_ext,md_ee_a,0.42977793953896826,0.0031960099737943608,134.47327857638945,0,0.4235138750961005,0.436042003981836
