chisq,df,pvalue,cfi,tli,srmr,rmsea,rmsea.ci.lower,rmsea.ci.upper,Test
309.637471566006,108,0,0.900035443808832,0.805624474072729,0.0842344821219097,0.0435146291132915,0.0378824377924004,0.0492320647170952,Baseline
309.653021837307,109,0,0.900523498332912,0.808348024311116,0.0842344821219097,0.043208694604247,0.0375929519864562,0.0489075446677637,T1: GM-Ext
333.190344684329,109,0,0.888854546059026,0.785866556627482,0.0842344821306314,0.0456727062745955,0.0401260429886824,0.0513117846265156,T2: GM-Int
311.399978262138,109,0,0.89965742060273,0.806679434188747,0.0842344821219102,0.0433963820866437,0.0377863356202778,0.0490903748916899,T3: GM_Thd
310.88778027916,109,0,0.899911349813669,0.807168655604317,0.0842344821219099,0.0433414373683566,0.0377297311163553,0.049036846551881,T4: GF_Ext
311.627431648427,109,0,0.899544657450932,0.806462184079776,0.0842344821219104,0.0434207592693516,0.037811447096515,0.0491141251241698,T5: GF-Int
309.88644912385,109,0,0.90040777353771,0.808125068283662,0.0842344821227364,0.0432338204572412,0.0376188448391699,0.0489320170045394,T6: GF-Thd
334.968401629107,111,0,0.888964577388237,0.789932984248016,0.0842344821237295,0.0452369617226054,0.0397288013330076,0.0508344973980424,T7: GM
313.126717927455,111,0,0.899792893180665,0.810418987098555,0.0842344821249799,0.0429746071394838,0.0374021635261679,0.0486276024723532,T8: GF
338.457647984695,114,0,0.888722026762975,0.795014259826533,0.0842344821250435,0.0446864979620174,0.0392361850943481,0.0502220152284404,T9: GM-GF
314.904774887091,113,0,0.899902924502509,0.813978886243601,0.0842344821227772,0.0425692124574111,0.0370334001543752,0.0481822550900464,T10: GMe-GMt-GF
320.137241507976,116,0,0.898796148399659,0.816786130723521,0.0846466123854845,0.0422467854209152,0.0367724329640098,0.0477948284058729,CM1: MF
318.572870614948,116,0,0.899571706835427,0.818190158926204,0.0846508200918981,0.0420845985874235,0.0366050776887808,0.0476370017222549,CM2: GM
319.026487216895,116,0,0.899346820151705,0.817783036481535,0.084906633360587,0.042131691757892,0.0366536779727558,0.047682824505864,CM3: GF
336.835939615296,122,0,0.893492121326638,0.816666766217984,0.0870492416223684,0.0422605451477154,0.0369220324092667,0.0476692013009866,CM4: GP
389.856638212824,128,0,0.870180961795649,0.787015640445986,0.0937646564576132,0.0455499968943661,0.0404251654895958,0.0507531939951543,CM5: MFGP
342.068406245376,125,0,0.89238534521923,0.819207379968306,0.0874481158184564,0.0419667023658943,0.0366831951247448,0.047317300883554,CM6: MF + GP
327.927049565985,122,0,0.8979088263816,0.82426929131259,0.085726606285793,0.0413750303896344,0.0360083482515167,0.04680743628807,CM7: MH + GM + GF
331.063589376477,125,0,0.897841134888287,0.828373106612322,0.0860897505907405,0.0408890637269471,0.035570735532909,0.0462689245819966,AM1: MF
347.592104204198,134,0,0.894108769878515,0.8340510572723,0.0883500400683708,0.0402070065303908,0.0350467390300463,0.0454209610417019,AM2: GP
350.728643995834,137,0,0.89404107839455,0.837581215057339,0.0887024471850848,0.0397770548451014,0.0346586004572509,0.0449455286440215,AM3: MF + GP
365.128643210861,146,0,0.891363954342307,0.843742674054003,0.0901827752870147,0.0390152765353057,0.0340300156470239,0.0440429636438804,IG1: MF
370.482706930476,164,0,0.89763335158317,0.86892075507601,0.0922380412827835,0.0357339858445468,0.0309036795571641,0.0405785050350944,IG2: GP
384.882706144062,173,0,0.894956227531641,0.872490218391009,0.093662504467768,0.03524408552865,0.0305198490907689,0.0399774604534432,IG3: MF + GP
397.147830734713,179,0,0.891850205648294,0.873120352995205,0.0948062932367476,0.0351568921250571,0.0305087375324613,0.0398131184335825,GEN1: MF = GP AM
399.105811090589,182,0,0.892366801251573,0.875807847597969,0.0949632832635496,0.0347825623690333,0.0301564188891702,0.0394132283254279,GEN2: MF = GP IG
411.37093568371,188,0,0.889260779367002,0.87630193439931,0.0960915686757181,0.034713303838744,0.0301585983696309,0.0392717804932623,GEN3: MFGP AM + IG
