lhs,dd_ext,dd_int,dd_thd,dm_ext,dm_int,dm_thd,md_ext,md_int,md_thd,mm_ext,mm_int,mm_thd,d_ext,d_int,d_thd,m_ext,m_int,m_thd,c_ext,c_int,c_thd
dd_ext,NA,0.14192411854031228,0.16867771916525298,0.4029999929963523,0.17088522039011547,0.17022676208168222,0.1531367249957808,0.04823613370061563,-0.09637651299152544,0.02954486201886778,0.08612817610364988,-0.04288864490459322,0.29730438100103956,0.1864623716834571,0.18244425284743496,0.23028535724098723,0.1962550106452264,0.23081284717237063,0.17723574029448314,0.2092921646547089,0.12781073178335395
dd_int,0.14192411854031228,NA,0.5207303005195973,0.1708852203901155,0.29961302323503847,0.17696675934952752,-0.01962297075104191,0.16618318704546953,0.2251701295803365,0.05737096529571905,0.1692098661023115,-0.16539402092709263,0.11060679269023337,0.19414097780998107,0.16390548370130356,-0.115143256490602,0.05056139752993872,-0.2064549624964882,-0.0472968889608952,0.08389944125323315,-0.05744128570742908
dd_thd,0.16867771916525298,0.5207303005195973,NA,0.17022676208168216,0.17696675934952744,0.2029822173118943,-0.04457182516292873,0.1297830964496413,0.17799337511532773,-0.09861664607489223,0.2508236333206076,-0.1112132334678872,0.09515628735029934,0.09006124616187208,0.11799285448459965,-0.08090128434522782,-0.02223931678363771,-0.21015993836093297,-0.11361990753035164,0.07765765959957696,-0.06746979383282846
dm_ext,0.4029999929963523,0.1708852203901155,0.17022676208168216,NA,0.3713812132806525,0.29156876722589664,0.0505273380266521,0.04834386804346673,0.15124231575067124,0.199575704994966,0.16458140787814224,-0.04402524493633718,0.29730438100103956,0.1864623716834571,0.18244425284743496,0.31274154944347415,0.08969739430450105,0.19370044631712496,0.2392212488324303,0.10339012142067495,0.0618012616552748
dm_int,0.17088522039011547,0.29961302323503847,0.17696675934952744,0.3713812132806525,NA,0.5302241109391997,0.03988074276155717,0.19767057483546596,0.1002275947370254,0.16180198970509724,0.2400473907757253,0.10741133029884949,0.11060679269023337,0.19414097780998105,0.1639054837013036,-0.0762072492227076,0.03448580315296468,-0.09219563651291186,0.09504211635150872,0.05814417942437484,-0.02741536818078435
dm_thd,0.17022676208168222,0.17696675934952752,0.2029822173118943,0.29156876722589664,0.5302241109391997,NA,0.00166887232628031,0.14563636421571802,-0.05730303918447056,0.22909073253714657,0.0962362585409524,0.04104348090559792,0.09515628735029934,0.09006124616187203,0.11799285448459967,0.03718685360389293,0.05997215449953544,-0.01246018539895467,0.03682977918227995,-0.01990001529317814,-0.00794540350571917
md_ext,0.1531367249957808,-0.01962297075104191,-0.04457182516292873,0.0505273380266521,0.03988074276155717,0.00166887232628031,NA,0.14192411854031228,0.16867771916525293,0.4029999929963524,0.1708852203901155,0.1702267620816822,0.28241125188638694,0.06315023051629715,0.07658779604910011,0.2973043810010395,0.18646237168345725,0.18244425284743496,0.21234991790302565,0.1743628415624454,0.1069183771513914
md_int,0.04823613370061563,0.16618318704546953,0.1297830964496413,0.04834386804346673,0.19767057483546596,0.14563636421571802,0.14192411854031228,NA,0.5207303005195973,0.1708852203901155,0.29961302323503847,0.17696675934952746,0.09856370194258852,0.0469043332852421,-0.01454759857710227,0.11060679269023337,0.1941409778099812,0.1639054837013035,0.04110922871364925,0.02329945250820848,-0.03233808730326551
md_thd,-0.09637651299152544,0.2251701295803365,0.17799337511532773,0.15124231575067124,0.1002275947370254,-0.05730303918447056,0.16867771916525293,0.5207303005195973,NA,0.17022676208168214,0.17696675934952744,0.2029822173118943,0.03200500905848914,0.07541996984828861,0.15926254802209375,0.09515628735029928,0.0900612461618722,0.11799285448459965,-0.0544641262316078,-0.02720523434673054,-0.0013392467121775
mm_ext,0.02954486201886778,0.05737096529571905,-0.09861664607489223,0.199575704994966,0.16180198970509724,0.22909073253714657,0.4029999929963524,0.1708852203901155,0.17022676208168214,NA,0.3713812132806524,0.29156876722589664,0.1591090326411238,0.07163946965154988,0.02710779591041138,0.29730438100103956,0.1864623716834571,0.18244425284743496,0.1526106240896306,0.03611980591979846,0.06776224436560374
mm_int,0.08612817610364988,0.1692098661023115,0.2508236333206076,0.16458140787814224,0.2400473907757253,0.0962362585409524,0.1708852203901155,0.29961302323503847,0.17696675934952744,0.3713812132806524,NA,0.5302241109391997,0.05255482485755233,0.07745029598019217,0.07755720418262942,0.11060679269023337,0.19414097780998107,0.16390548370130356,0.05757445064082892,0.04921865653828767,0.07459326107713966
mm_thd,-0.04288864490459322,-0.16539402092709263,-0.1112132334678872,-0.04402524493633718,0.10741133029884949,0.04104348090559792,0.1702267620816822,0.17696675934952746,0.2029822173118943,0.29156876722589664,0.5302241109391997,NA,0.0714567483470051,-0.08521360139021882,-0.15061977312337152,0.09515628735029934,0.09006124616187208,0.11799285448459965,-0.01148119665177215,-0.05302885051934207,-0.06916981359939021
d_ext,0.29730438100103956,0.11060679269023337,0.09515628735029934,0.29730438100103956,0.11060679269023337,0.09515628735029934,0.28241125188638694,0.09856370194258852,0.03200500905848914,0.1591090326411238,0.05255482485755233,0.0714567483470051,NA,0.4560558465831641,0.5641983104037988,0.4029999929963523,0.17088522039011556,0.17022676208168225,0.2973043810010396,0.18646237168345728,0.18244425284743507
d_int,0.1864623716834571,0.19414097780998107,0.09006124616187208,0.1864623716834571,0.19414097780998105,0.09006124616187203,0.06315023051629715,0.0469043332852421,0.07541996984828861,0.07163946965154988,0.07745029598019217,-0.08521360139021882,0.4560558465831641,NA,0.6034040285673135,0.17088522039011553,0.29961302323503847,0.1769667593495275,0.1106067926902334,0.1941409778099811,0.1639054837013036
d_thd,0.18244425284743496,0.16390548370130356,0.11799285448459965,0.18244425284743496,0.1639054837013036,0.11799285448459967,0.07658779604910011,-0.01454759857710227,0.15926254802209375,0.02710779591041138,0.07755720418262942,-0.15061977312337152,0.5641983104037988,0.6034040285673135,NA,0.1702267620816822,0.1769667593495275,0.20298221731189428,0.09515628735029937,0.09006124616187217,0.11799285448459962
